tag,x,y
グリップ,489.06374900599269,-1877.9518768446073
柔らかい,1513.4834688937606,-20837.727224069
軟らかい,489.063749005766,-1877.9518768446562
抗力,743.57594815792197,-2857.6491481608609
気,241.26838267564312,-922.63953983002364
成る,241.26838267559367,-922.63953983003728
指,31218.968599916152,8.5395133904021918
跡,742.33070322793048,-2856.1872901164302
付く,240.71957922573034,-921.49964286841578
太い,240.71957922575777,-921.49964286840304
ドクター,-7460.9390934513785,6977.8279918399849
落ち着く,-7968.8502311028678,6457.5068481890467
色,743.13377224953877,-2856.0002025848758
濃い,241.64640545078956,-919.05679274504269
暗い,16964.564439651167,21599.994226652019
使う,1010.4761287731815,-3865.0301520989483
先端,241.27024882762959,-918.00797849942148
尖る,490.26573929061703,-1873.7102913436536
居る,-7535.00182507517,20730.166670628139
安全,-3189.6420670378579,9557.3972647961928
固い,-10014.59511394344,4150.4279227381357
手ごたえ,-7535.1243982427131,20730.100341161051
有る,1008.3348261389782,-3863.0168222917841
持つ,241.52838068751893,-921.78952973516982
実感,-11803.066522539437,-10953.673780927511
芯,1006.6436975269449,-3865.2692778916544
細い,240.96126782278216,-920.6313053494365
シャープ,3628.4249693363249,-12649.734965985559
細かい,2167.2355182463648,-8104.7184532097799
字,241.71905482110449,-924.02857042380708
書く,242.04092533425904,-924.25183884125101
カバー,2169.6274077936855,-8104.6020351734614
円錐,7398.9644779029204,-24333.791657649272
キャップ,-3189.689414457368,9557.3587218918983
消す,-3189.6894144615494,9557.3587218914527
ゴム,1561.8036087399882,-5952.9755085808629
別,488.17096015979303,-1876.2172037584419
サイズ,488.15278246657255,-1876.2276720343048
問う,240.90556193843875,-923.63103145794992
狭い,488.33084237375067,-1875.6207532063838
スペース,240.10650259721979,-920.98053891369364
収納,240.10650259723309,-920.98053891368261
出来る,241.94391109517827,-923.14432200094097
差さる,241.94391109525603,-923.14432200093688
手,-3189.5428896205658,9557.4436641973607
筆箱,1134.37940354021,10016.958718606444
安い,-3189.4904668912754,9557.4309408666959
良い,-3189.4256579231874,9557.4273168580839
好み,-3189.4256579368398,9557.4273168552063
形,-3995.7445815911619,9046.188266666024
珍しい,1281.753630941342,-4897.9164497256534
円,1281.7536309413199,-4897.9164497256334
買う,14229.733151499173,-2118.2264863959495
直す,1865.7319400068588,-7024.438360970571
仕事,1281.7536309413338,-4897.9164497256515
