tag,x,y
グリップ,-4.8003108766772913,5.775040371152679
柔らかい,-1.4142002049357862,0.4846012768801467
持つ,-3.8340974319685284,-1.8997548291219786
疲れる,-1.7407248249839338,-0.42728642438573039
太い,-1.5358429600719676,0.92530886031437243
力,-2.0247890228198848,0.36561928786603914
入る,-2.0247891034158512,0.36561583467032494
細い,-1.0433652766053425,3.0532778520227524
持ち運ぶ,0.081924293071140561,0.95618548005274995
軽い,-0.00048770732410229951,1.546474816476386
便利,0.62028915645107063,0.5141659301460747
書く,-6.2544196316266838,0.51376313267082996
嬉しい,-1.2023941972309775,-0.56176259163335662
キャップ,1.0670139760211008,0.3694363734408373
押す,1.0670139758522912,0.36943637366892973
手間,1.0670139760075066,0.36943637345920616
省く,1.0670139759899069,0.36943637348298614
振る,1.7578553643817645,0.20418144213615
芯,10.637034758551037,7.2762361104661641
出る,1.7578553644079187,0.20418144218886225
字,1.268047971771437,-2.1324005310153886
時間,-1.277058295355155,-0.15022970289526585
使用,-1.2770582961125108,-0.15022970115855178
出来る,-1.2770582944697273,-0.15022970492566576
小さい,0.42562338213102369,-0.10071898740843852
勉強,-0.68792033574355582,-1.4797891841914426
為る,3.871189676742913,-2.117876374166868
入れ替え,1.0897929702502278,1.0727661595341991
少ない,1.0897929676997942,1.0727661626738163
回転,1.5731472610068817,1.5062444869105287
折れる,1.3955219417311948,1.655602938902514
消す,0.65107827288534403,0.84360308858811905
ゴム,0.65107827916394101,0.84360305984646677
付く,0.65107828466587581,0.84360303466015651
壊れる,1.0388346962542916,0.76126211165965607
楽しい,-0.8850965681300087,-2.1187500156668997
かっこ,-1.8272662166311604,-6.4238735569096308
良い,-2.3693857448552249,-6.2222024032326431
デザイン,-0.98515186081718176,-2.6553930975059887
珍しい,-2.8945787766193147,-6.8508111499171074
色,-1.0870223786328144,-3.3220802147090969
経済,1.6839812313815323,1.2744936349171165
長い,1.8259456848300015,0.83497109762794819
使う,1.8259466719386823,0.8349692350860507
安い,2.2789438718468356,1.5571061273532709
