tag,x,y
楽しい,0.41173551524727731,0.087713458405002498
日本,-5.3439695946779562,6.2658437931330901
経験,0.41012413931309544,0.51260565430987337
出来る,6.014495194706643,10.765270947203403
体験,5.1077900346309679,-3.8128830709860386
景色,0.4705103020526471,0.24290131163760706
良い,-9.0476866277579671,-0.88740240428630701
観光,0.97407463432042296,-0.097432268852665441
地,0.97407463432042296,-0.097432268852665441
多い,-1.3741208586566356,9.673798002203073
普段,0.57492911519826284,-0.086902522848867458
行く,9.2440109607351459,-5.5594873950710486
場所,3.6933939572724874,-1.730074786413488
刺激,0.78345126885368677,-0.23072262468430665
幻想,0.99616717524349496,-0.89847122012475322
世界,1.0660926179749859,-1.6454048612509267
遺産,1.0660926179749859,-1.6454048612509267
有る,-1.1801255089779279,-11.963349833811721
満足,0.1193154541868018,-0.016829119506686283
感,0.1193154541868018,-0.016829119506686283
見所,0.70739028249763336,-0.80670515484975114
為る,0.6127719182682555,0.51432000411299994
知る,1.184681809887727,0.68536930474898283
古代,1.2799177825535248,1.2688185420123013
遺跡,1.2799177825535248,1.2688185420123013
興味,-0.98041481689554111,4.116813378593732
違う,1.34974672291272,1.8861698053227127
もの,1.34974672291272,1.8861698053227127
見る,1.34974672291272,1.8861698053227127
新しい,1.53443328345088,0.056730031967131049
話,6.4683813678462849,1.1372078935156602
ネタ,1.9220945778687313,0.09563718332369453
成る,5.560628832556894,1.618809973351294
こと,5.0064306905531923,0.40776623422219321
無い,5.052355174132015,-0.058233278045003091
嬉しい,-0.77668208375028858,-0.089187643713377757
健康,-0.94458079337706113,-0.70247237793155703
温泉,-1.1387554926453671,-1.480385622898283
食べ物,-0.18969699734708012,0.0046205511810898407
美味しい,-0.18969699734708012,0.0046205511810898407
金,-1.1372976321587065,0.44091382093511289
時間,-5.3540873119366763,-0.81907772155130221
節約,-1.1372976321587065,0.44091382093511333
優しい,-1.0192751187732472,-0.097403670260127112
西洋,-1.0410270371243098,0.12978064313693161
建築,-1.0410270371243098,0.12978064313693161
友だち,-1.059842610616901,0.29269212328569988
居る,-1.059842610616901,0.29269212328569988
満たす,-4.495497751674808,-6.111369906966674
知識,-0.95513725770115765,-0.47830809783276595
欲,-0.95513725770115765,-0.47830809783276595
リフレッシュ,-1.392189434273956,-0.140701810970222
過ごす,-1.654999088581899,-0.69946367862137182
国内,-1.9548869780170588,-0.29230142699026934
安い,-2.3128764948983838,-0.88538547450176319
移動,-2.5017321944506952,-0.066350383865470014
短い,-2.4303849621433851,-0.64137241835268222
近い,-3.0580607189611406,-0.84655520271073048
安心,-2.5447323574246208,-0.19814624319549407
治安,-3.1923079380701473,-0.13877443792701555
安全,-3.8083192239538746,-0.25300472605409458
週末,-1.3352524060859912,-0.28970183224393575
幅,2.9423285772528089,0.18986320744579532
広がる,2.9423285772528089,0.18986320744579532
勉強,2.4623098702596273,0.028890654406318574
好奇,1.977094731227361,-0.054588680866458621
意思,-2.4888250447832707,-0.37630947570731088
疎通,-2.4888250447832707,-0.37630947570731088
取る,-2.4888250447832707,-0.37630947570731088
英語,-2.9344625427569158,-1.0762123443948599
